data_source,crime_id,atm_id,hour_of_day,day_of_week,amount,distance_from_crime,atm_historical_risk,txns_last_1h,txns_last_6h,nearby_crime_density,withdrawal_frequency,is_withdrawal_location
SYNTHETIC,SYN_CRM_0006,SYN_ATM_0023,15,2,105700.0,10.92,0.35,2,2,2.0,3.2,0
SYNTHETIC,SYN_CRM_0006,SYN_ATM_0024,15,2,105700.0,1.43,0.82,14,42,2.9,59.0,1
SYNTHETIC,SYN_CRM_0007,SYN_ATM_0025,0,0,454600.0,11.56,0.35,6,13,4.3,27.8,0
SYNTHETIC,SYN_CRM_0007,SYN_ATM_0026,0,0,454600.0,14.15,0.16,2,3,0.2,8.1,0
SYNTHETIC,SYN_CRM_0007,SYN_ATM_0027,0,0,454600.0,9.72,0.26,1,6,1.6,11.0,0
SYNTHETIC,SYN_CRM_0007,SYN_ATM_0028,0,0,454600.0,1.31,0.87,13,38,5.5,62.4,1
SYNTHETIC,SYN_CRM_0008,SYN_ATM_0029,5,0,108200.0,1.72,0.21,0,3,1.7,8.5,0
SYNTHETIC,SYN_CRM_0008,SYN_ATM_0030,5,0,108200.0,1.6,0.68,13,42,8.3,57.0,1
SYNTHETIC,SYN_CRM_0008,SYN_ATM_0031,5,0,108200.0,4.69,0.36,2,15,2.0,22.8,0
SYNTHETIC,SYN_CRM_0008,SYN_ATM_0032,5,0,108200.0,11.84,0.2,1,8,1.9,12.7,0
SYNTHETIC,SYN_CRM_0009,SYN_ATM_0033,15,2,198500.0,0.66,0.57,9,35,7.7,60.4,1
SYNTHETIC,SYN_CRM_0009,SYN_ATM_0034,15,2,198500.0,0.97,0.24,1,6,3.2,11.7,0
SYNTHETIC,SYN_CRM_0009,SYN_ATM_0035,15,2,198500.0,3.36,0.37,3,8,3.4,10.1,0
SYNTHETIC,SYN_CRM_0009,SYN_ATM_0036,15,2,198500.0,4.49,0.85,7,28,7.5,41.6,0
SYNTHETIC,SYN_CRM_0010,SYN_ATM_0037,16,0,17900.0,9.67,0.42,7,19,4.7,33.9,0
SYNTHETIC,SYN_CRM_0010,SYN_ATM_0038,16,0,17900.0,7.5,0.44,3,14,2.6,25.3,0
SYNTHETIC,SYN_CRM_0010,SYN_ATM_0039,16,0,17900.0,2.76,0.46,5,21,4.7,32.6,0
SYNTHETIC,SYN_CRM_0010,SYN_ATM_0040,16,0,17900.0,1.5,0.56,1,18,3.4,29.5,0
SYNTHETIC,SYN_CRM_0011,SYN_ATM_0041,20,6,29600.0,5.17,0.3,1,8,3.6,12.3,0
SYNTHETIC,SYN_CRM_0011,SYN_ATM_0042,20,6,29600.0,14.86,0.25,3,3,2.4,6.2,0
SYNTHETIC,SYN_CRM_0011,SYN_ATM_0043,20,6,29600.0,0.15,0.35,0,8,0.4,9.8,0
SYNTHETIC,SYN_CRM_0011,SYN_ATM_0044,20,6,29600.0,2.33,0.83,12,39,6.4,60.5,1
SYNTHETIC,SYN_CRM_0012,SYN_ATM_0045,11,4,234700.0,12.79,0.25,1,3,0.2,10.5,0
SYNTHETIC,SYN_CRM_0012,SYN_ATM_0046,11,4,234700.0,3.0,0.04,3,6,2.5,12.8,0
SYNTHETIC,SYN_CRM_0012,SYN_ATM_0047,11,4,234700.0,12.58,0.14,0,4,1.2,6.3,0
SYNTHETIC,SYN_CRM_0012,SYN_ATM_0048,11,4,234700.0,0.44,0.09,1,7,3.8,10.5,0
SYNTHETIC,SYN_CRM_0013,SYN_ATM_0049,20,2,45800.0,6.38,0.61,6,23,1.5,27.3,0
SYNTHETIC,SYN_CRM_0013,SYN_ATM_0050,20,2,45800.0,6.54,0.5,7,15,3.1,28.1,0
SYNTHETIC,SYN_CRM_0013,SYN_ATM_0051,20,2,45800.0,1.17,0.81,10,19,8.4,24.7,1
SYNTHETIC,SYN_CRM_0013,SYN_ATM_0052,20,2,45800.0,8.76,0.52,5,15,3.4,21.7,0
SYNTHETIC,SYN_CRM_0014,SYN_ATM_0053,17,0,458100.0,5.03,0.58,1,3,2.7,6.0,0
SYNTHETIC,SYN_CRM_0014,SYN_ATM_0054,17,0,458100.0,6.98,0.09,0,4,1.8,11.7,0
SYNTHETIC,SYN_CRM_0014,SYN_ATM_0055,17,0,458100.0,10.1,0.31,8,21,1.5,36.9,0
SYNTHETIC,SYN_CRM_0014,SYN_ATM_0056,17,0,458100.0,8.49,0.58,5,30,1.5,40.3,0
SYNTHETIC,SYN_CRM_0015,SYN_ATM_0057,10,3,7100.0,5.25,0.4,3,13,2.6,18.6,0
SYNTHETIC,SYN_CRM_0015,SYN_ATM_0058,10,3,7100.0,10.52,0.82,2,23,5.4,40.2,0
SYNTHETIC,SYN_CRM_0015,SYN_ATM_0059,10,3,7100.0,2.53,0.76,8,36,4.7,49.4,1
SYNTHETIC,SYN_CRM_0015,SYN_ATM_0060,10,3,7100.0,4.06,0.45,3,6,1.8,18.7,0
SYNTHETIC,SYN_CRM_0016,SYN_ATM_0061,14,2,21700.0,2.37,0.04,1,7,3.8,12.5,0
SYNTHETIC,SYN_CRM_0016,SYN_ATM_0062,14,2,21700.0,7.14,0.04,2,9,2.4,12.6,0
SYNTHETIC,SYN_CRM_0016,SYN_ATM_0063,14,2,21700.0,5.31,0.83,12,20,3.5,30.1,0
SYNTHETIC,SYN_CRM_0016,SYN_ATM_0064,14,2,21700.0,1.73,0.72,12,33,6.1,38.6,1
SYNTHETIC,SYN_CRM_0017,SYN_ATM_0065,22,0,194000.0,0.73,0.65,10,39,5.8,49.1,1
SYNTHETIC,SYN_CRM_0017,SYN_ATM_0066,22,0,194000.0,7.1,0.3,5,12,1.7,17.5,0
SYNTHETIC,SYN_CRM_0017,SYN_ATM_0067,22,0,194000.0,4.0,0.43,3,11,1.5,17.0,0
SYNTHETIC,SYN_CRM_0017,SYN_ATM_0068,22,0,194000.0,2.75,0.23,1,3,1.8,8.6,0
SYNTHETIC,SYN_CRM_0018,SYN_ATM_0069,19,6,434800.0,2.45,0.25,1,2,3.6,5.2,0
SYNTHETIC,SYN_CRM_0018,SYN_ATM_0070,19,6,434800.0,4.6,0.3,4,17,3.3,26.6,0
SYNTHETIC,SYN_CRM_0018,SYN_ATM_0071,19,6,434800.0,2.61,0.12,1,3,0.5,5.3,0
SYNTHETIC,SYN_CRM_0018,SYN_ATM_0072,19,6,434800.0,0.76,0.82,4,30,6.1,47.7,1
SYNTHETIC,SYN_CRM_0019,SYN_ATM_0073,17,2,17300.0,7.89,0.69,3,13,1.5,18.9,0
SYNTHETIC,SYN_CRM_0019,SYN_ATM_0074,17,2,17300.0,0.81,0.73,7,27,8.9,42.4,1
SYNTHETIC,SYN_CRM_0019,SYN_ATM_0075,17,2,17300.0,1.26,0.21,2,6,2.2,9.3,0
SYNTHETIC,SYN_CRM_0019,SYN_ATM_0076,17,2,17300.0,2.58,0.04,0,3,5.6,6.9,0
SYNTHETIC,SYN_CRM_0020,SYN_ATM_0077,11,1,5500.0,9.32,0.13,0,0,0.3,8.4,0
SYNTHETIC,SYN_CRM_0020,SYN_ATM_0078,11,1,5500.0,0.1,0.68,8,40,8.7,47.0,1
SYNTHETIC,SYN_CRM_0020,SYN_ATM_0079,11,1,5500.0,12.01,0.25,1,6,2.8,6.6,0
SYNTHETIC,SYN_CRM_0020,SYN_ATM_0080,11,1,5500.0,8.01,0.12,2,7,1.7,15.7,0
SYNTHETIC,SYN_CRM_0021,SYN_ATM_0081,7,0,24400.0,1.84,0.93,9,31,7.6,45.0,1
SYNTHETIC,SYN_CRM_0021,SYN_ATM_0082,7,0,24400.0,2.42,0.09,0,7,1.2,9.7,0
SYNTHETIC,SYN_CRM_0021,SYN_ATM_0083,7,0,24400.0,0.46,0.25,2,9,5.1,14.2,0
SYNTHETIC,SYN_CRM_0021,SYN_ATM_0084,7,0,24400.0,12.67,0.29,1,5,1.9,9.4,0
SYNTHETIC,SYN_CRM_0022,SYN_ATM_0085,18,3,33900.0,9.76,0.31,0,6,1.9,7.6,0
SYNTHETIC,SYN_CRM_0022,SYN_ATM_0086,18,3,33900.0,7.5,0.27,2,8,2.2,16.0,0
SYNTHETIC,SYN_CRM_0022,SYN_ATM_0087,18,3,33900.0,2.21,0.04,1,4,1.4,6.5,0
SYNTHETIC,SYN_CRM_0022,SYN_ATM_0088,18,3,33900.0,1.77,0.57,4,18,6.2,39.6,1
SYNTHETIC,SYN_CRM_0023,SYN_ATM_0089,16,0,19300.0,2.15,0.72,10,32,6.7,51.6,1
SYNTHETIC,SYN_CRM_0023,SYN_ATM_0090,16,0,19300.0,2.81,0.44,2,8,4.5,10.6,0
SYNTHETIC,SYN_CRM_0023,SYN_ATM_0091,16,0,19300.0,6.14,0.76,4,19,5.1,36.2,0
SYNTHETIC,SYN_CRM_0023,SYN_ATM_0092,16,0,19300.0,3.34,0.24,2,14,2.7,27.6,0
SYNTHETIC,SYN_CRM_0024,SYN_ATM_0093,13,4,80100.0,8.91,0.7,2,18,4.3,29.2,0
SYNTHETIC,SYN_CRM_0024,SYN_ATM_0094,13,4,80100.0,3.49,0.2,6,22,3.8,31.1,0
SYNTHETIC,SYN_CRM_0024,SYN_ATM_0095,13,4,80100.0,11.7,0.34,1,13,1.2,17.9,0
SYNTHETIC,SYN_CRM_0024,SYN_ATM_0096,13,4,80100.0,1.02,0.92,4,26,9.5,42.2,1
SYNTHETIC,SYN_CRM_0025,SYN_ATM_0097,10,6,48300.0,10.63,0.5,2,17,6.5,26.2,0
SYNTHETIC,SYN_CRM_0025,SYN_ATM_0098,10,6,48300.0,2.32,0.87,11,28,5.8,39.2,1
SYNTHETIC,SYN_CRM_0025,SYN_ATM_0099,10,6,48300.0,2.33,0.2,2,4,3.3,8.6,0
SYNTHETIC,SYN_CRM_0025,SYN_ATM_0100,10,6,48300.0,10.62,0.54,4,14,5.1,20.5,0
SYNTHETIC,SYN_CRM_0026,SYN_ATM_0101,19,0,48400.0,12.42,0.56,4,23,3.7,40.5,0
SYNTHETIC,SYN_CRM_0026,SYN_ATM_0102,19,0,48400.0,7.72,0.8,10,32,6.0,35.2,0
SYNTHETIC,SYN_CRM_0026,SYN_ATM_0103,19,0,48400.0,15.34,0.04,2,7,3.0,11.3,0
SYNTHETIC,SYN_CRM_0026,SYN_ATM_0104,19,0,48400.0,13.95,0.14,0,3,2.8,9.5,0
SYNTHETIC,SYN_CRM_0027,SYN_ATM_0105,21,3,210800.0,4.47,0.24,4,16,4.5,26.2,0
SYNTHETIC,SYN_CRM_0027,SYN_ATM_0106,21,3,210800.0,3.33,0.58,2,15,3.7,18.3,0
SYNTHETIC,SYN_CRM_0027,SYN_ATM_0107,21,3,210800.0,0.21,0.68,7,41,7.1,59.9,1
SYNTHETIC,SYN_CRM_0027,SYN_ATM_0108,21,3,210800.0,12.58,0.27,0,6,1.3,8.9,0
SYNTHETIC,SYN_CRM_0028,SYN_ATM_0109,0,6,37300.0,0.5,0.77,7,24,4.2,48.3,1
SYNTHETIC,SYN_CRM_0028,SYN_ATM_0110,0,6,37300.0,10.61,0.13,1,10,2.3,16.0,0
SYNTHETIC,SYN_CRM_0028,SYN_ATM_0111,0,6,37300.0,3.34,0.68,2,7,2.6,17.8,0
SYNTHETIC,SYN_CRM_0028,SYN_ATM_0112,0,6,37300.0,7.54,0.12,2,6,0.9,14.1,0
SYNTHETIC,SYN_CRM_0029,SYN_ATM_0113,16,2,31400.0,2.35,0.13,2,2,2.1,3.2,0
SYNTHETIC,SYN_CRM_0029,SYN_ATM_0114,16,2,31400.0,0.56,0.66,10,35,10.1,51.9,1
SYNTHETIC,SYN_CRM_0029,SYN_ATM_0115,16,2,31400.0,1.5,0.32,2,13,3.5,24.6,0
SYNTHETIC,SYN_CRM_0029,SYN_ATM_0116,16,2,31400.0,0.58,0.18,1,4,3.0,11.7,0
SYNTHETIC,SYN_CRM_0030,SYN_ATM_0117,20,5,127700.0,7.52,0.27,2,7,2.2,11.1,0
SYNTHETIC,SYN_CRM_0030,SYN_ATM_0118,20,5,127700.0,0.78,0.11,0,4,3.7,11.6,0
SYNTHETIC,SYN_CRM_0030,SYN_ATM_0119,20,5,127700.0,0.65,0.89,6,17,5.0,36.6,1
SYNTHETIC,SYN_CRM_0030,SYN_ATM_0120,20,5,127700.0,10.61,0.25,2,7,1.7,9.7,0
SYNTHETIC,SYN_CRM_0031,SYN_ATM_0121,15,3,60200.0,1.16,0.04,0,0,1.3,2.6,0
SYNTHETIC,SYN_CRM_0031,SYN_ATM_0122,15,3,60200.0,0.15,0.22,1,7,3.7,14.9,0
SYNTHETIC,SYN_CRM_0031,SYN_ATM_0123,15,3,60200.0,10.93,0.46,6,34,5.4,49.4,0
SYNTHETIC,SYN_CRM_0031,SYN_ATM_0124,15,3,60200.0,0.76,0.8,4,12,7.6,17.2,1
SYNTHETIC,SYN_CRM_0032,SYN_ATM_0125,12,1,104600.0,1.62,0.14,0,2,2.8,9.9,0
SYNTHETIC,SYN_CRM_0032,SYN_ATM_0126,12,1,104600.0,0.78,0.89,10,29,6.6,53.8,1
SYNTHETIC,SYN_CRM_0032,SYN_ATM_0127,12,1,104600.0,5.95,0.37,1,6,1.5,10.5,0
SYNTHETIC,SYN_CRM_0032,SYN_ATM_0128,12,1,104600.0,11.16,0.33,0,8,2.0,12.8,0
SYNTHETIC,SYN_CRM_0033,SYN_ATM_0129,9,4,16100.0,8.86,0.57,6,20,2.6,36.6,0
SYNTHETIC,SYN_CRM_0033,SYN_ATM_0130,9,4,16100.0,6.08,0.35,2,8,2.2,14.5,0
SYNTHETIC,SYN_CRM_0033,SYN_ATM_0131,9,4,16100.0,0.51,0.68,9,22,9.4,28.4,1
SYNTHETIC,SYN_CRM_0033,SYN_ATM_0132,9,4,16100.0,1.71,0.28,1,1,1.2,3.1,0
SYNTHETIC,SYN_CRM_0034,SYN_ATM_0133,14,1,69600.0,0.87,0.83,18,37,6.6,43.2,1
SYNTHETIC,SYN_CRM_0034,SYN_ATM_0134,14,1,69600.0,6.15,0.05,1,7,2.2,8.1,0
SYNTHETIC,SYN_CRM_0034,SYN_ATM_0135,14,1,69600.0,2.43,0.3,4,17,1.0,29.9,0
SYNTHETIC,SYN_CRM_0034,SYN_ATM_0136,14,1,69600.0,8.29,0.2,2,9,2.4,11.0,0
SYNTHETIC,SYN_CRM_0035,SYN_ATM_0137,14,6,17200.0,1.94,0.04,1,2,4.5,2.7,0
SYNTHETIC,SYN_CRM_0035,SYN_ATM_0138,14,6,17200.0,3.09,0.42,4,18,2.3,23.4,0
SYNTHETIC,SYN_CRM_0035,SYN_ATM_0139,14,6,17200.0,1.06,0.73,6,25,8.7,44.2,1
SYNTHETIC,SYN_CRM_0035,SYN_ATM_0140,14,6,17200.0,10.53,0.22,0,6,1.0,10.0,0
SYNTHETIC,SYN_CRM_0036,SYN_ATM_0141,18,6,378900.0,9.53,0.18,2,3,2.4,7.4,0
SYNTHETIC,SYN_CRM_0036,SYN_ATM_0142,18,6,378900.0,11.51,0.12,3,11,1.5,17.1,0
SYNTHETIC,SYN_CRM_0036,SYN_ATM_0143,18,6,378900.0,7.37,0.67,5,24,4.7,38.5,0
SYNTHETIC,SYN_CRM_0036,SYN_ATM_0144,18,6,378900.0,7.97,0.36,1,11,3.7,14.1,0
SYNTHETIC,SYN_CRM_0037,SYN_ATM_0145,15,1,70000.0,0.18,0.86,11,38,4.7,52.3,1
SYNTHETIC,SYN_CRM_0037,SYN_ATM_0146,15,1,70000.0,9.02,0.51,1,24,3.2,29.6,0
SYNTHETIC,SYN_CRM_0037,SYN_ATM_0147,15,1,70000.0,2.28,0.42,4,16,2.3,22.5,0
SYNTHETIC,SYN_CRM_0037,SYN_ATM_0148,15,1,70000.0,11.61,0.35,2,12,0.5,13.2,0
SYNTHETIC,SYN_CRM_0038,SYN_ATM_0149,17,4,74400.0,10.78,0.28,0,4,0.4,11.8,0
SYNTHETIC,SYN_CRM_0038,SYN_ATM_0150,17,4,74400.0,0.74,0.49,10,24,6.9,50.2,1
SYNTHETIC,SYN_CRM_0038,SYN_ATM_0151,17,4,74400.0,0.66,0.11,0,4,3.5,7.8,0
SYNTHETIC,SYN_CRM_0038,SYN_ATM_0152,17,4,74400.0,8.76,0.57,3,19,4.7,28.8,0
SYNTHETIC,SYN_CRM_0039,SYN_ATM_0153,3,6,58700.0,6.88,0.16,0,5,0.2,14.1,0
SYNTHETIC,SYN_CRM_0039,SYN_ATM_0154,3,6,58700.0,1.17,0.25,0,3,3.9,6.9,0
SYNTHETIC,SYN_CRM_0039,SYN_ATM_0155,3,6,58700.0,6.72,0.12,4,19,4.6,32.9,0
SYNTHETIC,SYN_CRM_0039,SYN_ATM_0156,3,6,58700.0,8.95,0.48,8,22,3.2,36.6,0
SYNTHETIC,SYN_CRM_0040,SYN_ATM_0157,18,0,157700.0,0.45,0.67,16,47,6.7,54.6,1
SYNTHETIC,SYN_CRM_0040,SYN_ATM_0158,18,0,157700.0,8.54,0.09,1,10,0.2,16.8,0
SYNTHETIC,SYN_CRM_0040,SYN_ATM_0159,18,0,157700.0,9.16,0.18,1,5,0.4,12.2,0
SYNTHETIC,SYN_CRM_0040,SYN_ATM_0160,18,0,157700.0,5.19,0.63,5,17,3.1,24.9,0
SYNTHETIC,SYN_CRM_0041,SYN_ATM_0161,0,2,5900.0,8.2,0.66,8,31,6.9,46.5,0
SYNTHETIC,SYN_CRM_0041,SYN_ATM_0162,0,2,5900.0,6.03,0.48,3,11,3.4,17.2,0
SYNTHETIC,SYN_CRM_0041,SYN_ATM_0163,0,2,5900.0,12.19,0.06,1,3,1.8,9.9,0
SYNTHETIC,SYN_CRM_0041,SYN_ATM_0164,0,2,5900.0,10.76,0.14,1,3,1.9,8.6,0
SYNTHETIC,SYN_CRM_0042,SYN_ATM_0165,11,6,188500.0,7.51,0.71,4,24,1.5,29.1,0
SYNTHETIC,SYN_CRM_0042,SYN_ATM_0166,11,6,188500.0,4.25,0.08,1,6,0.2,14.5,0
SYNTHETIC,SYN_CRM_0042,SYN_ATM_0167,11,6,188500.0,3.94,0.57,6,18,2.7,31.3,0
SYNTHETIC,SYN_CRM_0042,SYN_ATM_0168,11,6,188500.0,1.7,0.75,9,32,9.1,37.3,1
SYNTHETIC,SYN_CRM_0043,SYN_ATM_0169,15,1,24900.0,5.66,0.22,2,10,3.3,20.2,0
SYNTHETIC,SYN_CRM_0043,SYN_ATM_0170,15,1,24900.0,15.36,0.19,2,7,0.7,9.9,0
SYNTHETIC,SYN_CRM_0043,SYN_ATM_0171,15,1,24900.0,1.55,0.57,5,31,6.4,42.2,1
SYNTHETIC,SYN_CRM_0043,SYN_ATM_0172,15,1,24900.0,11.2,0.05,1,6,2.4,15.1,0
SYNTHETIC,SYN_CRM_0044,SYN_ATM_0173,16,0,149000.0,6.61,0.51,7,35,2.2,39.0,0
SYNTHETIC,SYN_CRM_0044,SYN_ATM_0174,16,0,149000.0,11.47,0.3,3,17,4.0,27.1,0
SYNTHETIC,SYN_CRM_0044,SYN_ATM_0175,16,0,149000.0,0.1,0.42,10,34,6.8,55.6,1
SYNTHETIC,SYN_CRM_0044,SYN_ATM_0176,16,0,149000.0,0.69,0.22,1,5,0.7,9.6,0
SYNTHETIC,SYN_CRM_0045,SYN_ATM_0177,19,1,162200.0,8.56,0.65,1,20,3.4,34.9,0
SYNTHETIC,SYN_CRM_0045,SYN_ATM_0178,19,1,162200.0,4.73,0.33,1,14,4.0,21.4,0
SYNTHETIC,SYN_CRM_0045,SYN_ATM_0179,19,1,162200.0,7.91,0.15,1,5,1.8,13.1,0
SYNTHETIC,SYN_CRM_0045,SYN_ATM_0180,19,1,162200.0,6.34,0.46,8,23,5.2,28.8,0
SYNTHETIC,SYN_CRM_0046,SYN_ATM_0181,18,2,355800.0,4.74,0.1,1,10,0.8,13.4,0
SYNTHETIC,SYN_CRM_0046,SYN_ATM_0182,18,2,355800.0,1.97,0.08,1,5,3.3,12.0,0
SYNTHETIC,SYN_CRM_0046,SYN_ATM_0183,18,2,355800.0,10.0,0.58,5,27,8.1,35.4,0
SYNTHETIC,SYN_CRM_0046,SYN_ATM_0184,18,2,355800.0,1.55,0.79,11,32,3.8,50.6,1
SYNTHETIC,SYN_CRM_0047,SYN_ATM_0185,19,0,6200.0,4.89,0.5,1,11,2.5,22.6,0
SYNTHETIC,SYN_CRM_0047,SYN_ATM_0186,19,0,6200.0,11.06,0.42,6,24,5.6,38.0,0
SYNTHETIC,SYN_CRM_0047,SYN_ATM_0187,19,0,6200.0,0.41,0.72,8,30,5.3,57.9,1
SYNTHETIC,SYN_CRM_0047,SYN_ATM_0188,19,0,6200.0,12.97,0.33,3,12,1.1,16.8,0
SYNTHETIC,SYN_CRM_0048,SYN_ATM_0189,21,3,443200.0,3.34,0.21,2,11,2.2,21.4,0
SYNTHETIC,SYN_CRM_0048,SYN_ATM_0190,21,3,443200.0,1.85,0.24,1,11,3.4,17.4,0
SYNTHETIC,SYN_CRM_0048,SYN_ATM_0191,21,3,443200.0,6.47,0.22,1,8,0.7,16.9,0
SYNTHETIC,SYN_CRM_0048,SYN_ATM_0192,21,3,443200.0,9.32,0.08,0,5,2.5,9.4,0
SYNTHETIC,SYN_CRM_0049,SYN_ATM_0193,16,1,392700.0,11.43,0.1,0,7,0.3,15.7,0
SYNTHETIC,SYN_CRM_0049,SYN_ATM_0194,16,1,392700.0,5.79,0.27,5,21,3.0,25.3,0
SYNTHETIC,SYN_CRM_0049,SYN_ATM_0195,16,1,392700.0,1.9,0.67,11,39,6.6,49.6,1
SYNTHETIC,SYN_CRM_0049,SYN_ATM_0196,16,1,392700.0,3.29,0.17,0,1,2.2,5.9,0
SYNTHETIC,SYN_CRM_0050,SYN_ATM_0197,8,4,152600.0,1.18,0.69,11,24,9.7,46.4,1
SYNTHETIC,SYN_CRM_0050,SYN_ATM_0198,8,4,152600.0,6.32,0.47,4,17,2.8,34.3,0
SYNTHETIC,SYN_CRM_0050,SYN_ATM_0199,8,4,152600.0,9.28,0.38,6,27,4.0,37.3,0
SYNTHETIC,SYN_CRM_0050,SYN_ATM_0200,8,4,152600.0,10.77,0.15,1,1,1.1,9.7,0
SYNTHETIC,SYN_CRM_0051,SYN_ATM_0201,23,1,141800.0,7.79,0.69,7,18,5.3,24.7,0
SYNTHETIC,SYN_CRM_0051,SYN_ATM_0202,23,1,141800.0,1.74,0.77,7,37,5.9,48.5,1
SYNTHETIC,SYN_CRM_0051,SYN_ATM_0203,23,1,141800.0,2.7,0.37,3,21,2.1,28.8,0
SYNTHETIC,SYN_CRM_0051,SYN_ATM_0204,23,1,141800.0,5.02,0.39,4,15,4.2,27.5,0
SYNTHETIC,SYN_CRM_0052,SYN_ATM_0205,17,3,20500.0,4.14,0.17,4,11,2.3,19.4,0
SYNTHETIC,SYN_CRM_0052,SYN_ATM_0206,17,3,20500.0,0.9,0.87,10,26,7.9,53.7,1
SYNTHETIC,SYN_CRM_0052,SYN_ATM_0207,17,3,20500.0,3.0,0.37,2,3,1.0,9.2,0
SYNTHETIC,SYN_CRM_0052,SYN_ATM_0208,17,3,20500.0,15.91,0.09,2,7,1.5,10.7,0
SYNTHETIC,SYN_CRM_0053,SYN_ATM_0209,14,3,18100.0,14.74,0.21,2,9,1.4,16.2,0
SYNTHETIC,SYN_CRM_0053,SYN_ATM_0210,14,3,18100.0,6.02,0.26,0,0,0.8,6.0,0
SYNTHETIC,SYN_CRM_0053,SYN_ATM_0211,14,3,18100.0,1.43,0.5,9,13,6.6,35.8,1
SYNTHETIC,SYN_CRM_0053,SYN_ATM_0212,14,3,18100.0,5.12,0.2,2,10,2.2,19.4,0
SYNTHETIC,SYN_CRM_0054,SYN_ATM_0213,17,6,69300.0,1.37,0.86,11,35,4.9,53.7,1
SYNTHETIC,SYN_CRM_0054,SYN_ATM_0214,17,6,69300.0,10.83,0.71,5,15,2.1,26.4,0
SYNTHETIC,SYN_CRM_0054,SYN_ATM_0215,17,6,69300.0,3.05,0.39,2,7,4.4,16.9,0
SYNTHETIC,SYN_CRM_0054,SYN_ATM_0216,17,6,69300.0,4.11,0.28,3,17,1.1,30.5,0
SYNTHETIC,SYN_CRM_0055,SYN_ATM_0217,10,2,78400.0,1.06,0.1,1,8,1.1,10.7,0
SYNTHETIC,SYN_CRM_0055,SYN_ATM_0218,10,2,78400.0,0.89,0.04,0,5,1.9,11.3,0
SYNTHETIC,SYN_CRM_0055,SYN_ATM_0219,10,2,78400.0,1.22,0.75,9,40,7.6,61.9,1
SYNTHETIC,SYN_CRM_0055,SYN_ATM_0220,10,2,78400.0,7.35,0.26,0,4,1.0,5.5,0
SYNTHETIC,SYN_CRM_0056,SYN_ATM_0221,18,1,60200.0,5.15,0.31,2,11,2.8,20.3,0
SYNTHETIC,SYN_CRM_0056,SYN_ATM_0222,18,1,60200.0,1.13,0.45,12,28,9.5,36.8,1
